id,spoken_words,word_count
9549,actually little disease magazines news shows natural think,31
9550,mr bergstrom,3
9551,know sure like talk touch lesson plan teach,22
9552,life worth living,5
9553,polls open end recess case decided thought final statements martin,33
9554,think left,8
9555,bart,1
9556,victory party slide,5
9557,,
9558,mr bergstrom mr bergstrom,4
9559,hey hey moved morning new job took copernicus costume,19
9560,know find,8
9561,think taking train capital city,10
9562,train like traditional environmentally sound,9
9563,yes backbone country leland stanford drove golden spike promontory point,19
9564,touched,6
9565,,
9566,hey thanks vote man,6
9567,vote voting geeks,6
9568,got right thanks vote girls,10
9569,forgot,2
9570,sweat long couple people right milhouse,15
9571,uh oh,2
9572,lewis,1
9573,somebody voted,4
9574,bart vote,7
9575,uh oh,2
9576,,
9577,yayyyyyyyyyyyyyy,1
75766,,
9578,demand recount,4
9579,martin martin like recount,11
9580,,1
9581,want sure martin martin,13
9582,way mister president,4
9583,,
9584,boarding track afternoon delight coming shelbyville parkville,13
9585,mr bergstrom hey mr bergstrom,5
9586,hey lisa,2
9587,hey lisa,3
9588,,4
9589,oh mean going leave like,12
9590,ah sorry lisa know life substitute teacher fraud today wearing gym shorts tomorrow speaking french pretending know run band saw god knows,43
9591,best teacher,10
9592,ah true teachers come,10
9593,oh,2
9594,lie best know need projects capital city,23
9595,need,5
9596,problem middle class anybody cares abandon need,20
9597,understand mr bergstrom going miss,10
9598,tell,4
9599,feel like rely need know,20
9600,thank mr bergstrom,4
9601,aboard,2
9602,guess mind run alongside train speeds life,23
9603,goodbye lisa honey okay read note,10
9604,,
9660,thrown party big bash champagne musicians holy men,22
9605,bart vote oh worst thing happened alright allright spilled milk spilled milk spilled milk mopey,30
9606,,1
9607,lisa tell father,4
9608,mr bergstrom left today,4
9609,oh,1
9610,gone forever,3
9611,,1
9612,think understand,5
9613,hey care mean understand,11
9614,glad crying hate think based emotion sir baboon,29
9615,,1
9616,yes baboon baboon baboon baboon,6
9617,think realize saying,8
9618,baboon,1
9619,whoa somebody bound day believe,16
9620,hear marge called baboon stupidest ugliest smelliest ape,18
9621,homer allowed hurt feelings right little girl upstairs needs confidence father shaken little girl happy faith daddy,40
9622,away,2
9623,lisa hold tell crying called daddy baboon,18
9624,,1
9625,nuts,1
9626,going,6
9627,look want forgive,10
9628,wish knew,11
9629,maybe help lost special hurts lucky lost special special roof,31
9630,,
9661,wedding,4
9662,oh,1
9663,children time bed,9
9631,true lots special people life lisa probably place food real good guys like serving drinks oh maybe explain fix doll house good monkey work know monkey know mean,67
9632,yeah,1
9633,hold nails place tail,10
9634,silly,3
9635,gimme banana,3
9636,banana,5
9637,come holding,7
9638,sorry called baboon dad,8
9639,think,4
9640,hey matter son,5
9641,ah dad milhouse lewis voted,10
9642,hey son gotten money class president,12
9643,,1
9644,extra work,7
9645,yeah,1
9646,martin guy going neat like throw ball world series huh,23
9647,,2
9648,let baby bottle huh motto,11
9649,hey thanks monkey man,3
9650,holy moly talk parenting,4
9651,uh oh,2
9652,sleep maggie ah,7
